SITE NAME,DEALER,PHYSICAL ADDRESS,Suburb,TEL NO,FAX NO,CELL NO,Custodian
Parkland,Lino Sequeiro,Parkland Dr Estherpark,G Centr,976-3024,393-5033,082-552-2213,Nkosinathi
PARKRAND,TONIE SWANEPOEL,"VAN WYK LOUW STR, CINDA PARK",G East,(011) 913 - 3560,(011) 913 - 3561,082 923 9437,Muneer Patel
Parktown CC,ANAND MOODLIAR ,Cnr St Andrews & St Dawids Place,G SW,011 - 484 7316,011 - 642 9922,083 297 9284,Clint Gali
Parkville Motors,Mike Coen,"Danie Malan St, White River",I North,013 750 1331,013 750 1331,082 474 2337,Willem Goudriaan
Pegasus Motors,Casper du Plessis,Lynette Str Kilnerpark,I North,012 333 6091,012 333 3284,082 377 1386,Willem Goudriaan
PELLY'S S.S,RIAAN PELSER,"CNR LAWRENCE & LOUW STR, DALPARK ",G East,(011) 915 4980,(011) 425 6145,082 693 3817,Muneer Patel
Petervale SS,Tipoo Moosa,Cambridge Rd Petervale,G Centr,803-4244,803-4244,082 777 8608,Nkosinathi
Petrolstop S Stn,Frank Hislop,Marshall Str Polokwane,I North,015 295 2915 ,015 291 1579,082 562 3456,Willem Goudriaan
PHILLIP ,BABSIE JORDAN ,Losberg Rd Fochville,G SW,018 - 771 2115,018 - 771 2115,082 452 8796,Clint Gali
Phokwane,Puane Phineas,Main Rd. Phokwane Village,3rd North,n\a,n\a,082 9607016,Closure
PIT-STOP KRIEL,M BHAYAT,BROWEY ST KRIEL,G East,648 -2277,648 - 2277,083 374 6870,Muneer Patel
Plaston Mtrs,T.Jacobs,Main Road Plaston Nelspruit,3rd East,013xx7414071,013x7414071,083 310 7250,Willem Goudriaan
Pomona Gardens,Achtar Seedat,Pomona Rd Kemptonpark,G Centr,979-1265,979-1124,083-601-1877,Nkosinathi
Powertune S/Stn,G. Porteus,Cnr 4th & 2nd St. Booysens,3rd East,011x8353178,011x8351493,082 600 1722,Muneer Patel
PR MOTORS,CLINTON CALLOKOPEN,CNR TEEBOS AVE CELTIS STR PALM RIDGE ,G East,(011) 904 1144,ASK,082 447 5499,Muneer Patel
Practical,Kotzee Leon,Bloodriver. Polokwane,3rd North,n\a,n\a,,Closure
PRESIDENTDAM MOTORS,WILLEM/ELAINE PRETORIUS,13 TINKTINKIE AVE PRESIDENTDAM SPRINGS,G East,(011) 816 1122,(011) 366 1603,083 370 4834,Muneer Patel
Pretoria East Mts,James Jacobs,Jacqueline Ave Garsfontein,I North,012 993 2053,012 993 2065,082 574 3045,Willem Goudriaan
Pretoria Motors,Andre / Anton,"302 Pretoria Rd, Silverton, Pta, 0127",I North,012 804 3496,012 804 3496,082 444 7447,Willem Goudriaan
Prime Corner Fill Stn,Hilton Glen,"Old Pretoria Road, Nelspruit",I North,013 752 8171,013 752 2703,079 890 3860,Willem Goudriaan
PRIMHILL S CEN,A Britz,131 CYDONIA RD PRIMROSE 1401 ,G East,(011) 825 - 7121 ,(011) 872 - 0871,082 335 5056,Muneer Patel
Princess Crossing Conv Ctr.,Rob Dubbini,"Ontdekkers Road, Roodepoort",G Centr,764 6217,762 3410,083 400 9944,Nkosinathi
Prinshof Motors,Hannes Kruger,Voortrekker Rd Prinshoff,I North,012 324 3055,012 324 0134,083 775 1207,Willem Goudriaan
Pronto  S/Stn,C. De costa,Commissioner St.Kemptonpark,3rd East,N/A,N/A,N/A,CLOSURE
Protea Motors,Allie Venter,102 Wildewy Ave Proteapk Rustenburg,I North,014 533 4010,014 533 2750,082 446 2029,Clint Gali
Queenswood Ser Stn,Chops Delport,Stead Ave&Fontana Rd Queenswood,I North,012 333 7193,012 333 0104,083 253 8375,Willem Goudriaan
RADEBE MOTORS,BOBOZA RADEBE,"298 OLD POTCHEFSTROOM RD, NANCEFIELD ",G SW,011 - 984 0433,011 - 984 0426,,Clint Gali
Rampi S/Stn,,4419 Temba & Makapanstad Rd,3rd North,012 717 2266, ,082 374 4347,Willem Goudriaan
RAND STADIUM TOYOTA,AMANDA,"256 TURF ROAD, TURFONTEIN",G SW,011-435 1270/3 ,011 - 435 9800,083 352 6300,Clint Gali
RANDFONTEIN ,SUHAYL MAMOOJEE ,Mainreef Rd Randfontein,G SW,011 - 412 2725,011 - 693 7824,083 442 4089,Clint Gali
RANDGATE S/STN ,ABOO ESSOP ,"CNR UNION STREETS & LAZER AVENUES, RANDGATE",G SW,011-693 5909,ASK ,072 209 7869,Clint Gali
Randparkridge,Cassim Ebrahim,Malope Rd Randparkridge,G Centr,792-8356,792-8356,084-513-1658,Nkosinathi
Rapi S.S,Geffrey Moanakwena,Cnr. Van Staden & Malan St Rustenburg,I North,014 592 1954,014 592 1954,083 338 7883,Clint Gali
Rayton Motors,Gerhard van Wyk,Naude Street Rayton,I North,012 734 4771 ,012 734 5682 ,083 304 7240,Willem Goudriaan
RENSBURG MOTORS,MAUREEN MINNY,CNR AG VISSER & SUTTMAN STR HEIDELBURG,G East,(016) 341 2795,ASK,,Muneer Patel
Restonvale,Yusof Mohammed,"Plot 2, R25, Route P91 ",G Centr,011-976 3406,,,Nkosinathi
Rhenosterspruit,Rosenderg Desmond,59 Riverside. Lenseria,3rd West,011 7012236,011  7012236,082 4626567,Muneer Patel
RIAAN'S AUTO ,EVERT JONKER ,"Cnr Union & Victorua Streets, Vereening",G SW,016 - 422 5586 ,016 - 455 4366,082 412 3009,Clint Gali
Ridderpark Motors,Ludwig Venter,Kruger Street Rustenburg,I North,014 596 6184,014 596 5870,082 460 0558,Clint Gali
RIDGEWAY CONV.,ISMAIL JAKUB,"8 SWARTGOUD STR, RIDGEWAY",G SW,011 - 680 2432,011 - 433 1460,082 5735 852,Clint Gali
Rissik Str Mts,Wimpie Knoesen,4B Rissik Str Polokwane,I North,015 297 1807,015 297 1807,082 895 3648,Willem Goudriaan
Riverside CC,Chris Koch,R40 Nelspruit,I North,,,083 556 4561,Willem Goudriaan
Rivonia CC ,Johan Byliefeldt,"270 Rivonia Rd, Morningside",G Centr,803-0935,803-6034,082-787-8865,Nkosinathi
ROODEKOP RET CEN,MOOSA MUHAMMED,"98 BLAAWBOK STR, LEONDALE",G East,(011) 866 2786,(012) 327 7864,084 600 0786,Muneer Patel
ROSEDENE Conv CEN,ZANELE NDABA,"CNR 186 PRETORIUS & BUDOLPH RDS, WITFIELD",G East,(011) 826 - 1912,(011) 826 - 4229 ,083 7832 293,Muneer Patel
ROSHNEE MOTORS,MOHAMMED ,"Cnr Iqbal & Tagore Drives, Roshnee ",G SW,016 - 556 1135,Ask ,082 846 0128,Clint Gali
Rossouw Str Motors,Org Marais,582 Rossouw Str Willows Pretoria,I North,012 807 4917 / 8,012 807 4919,083 737 5551,Willem Goudriaan
Route 21,Zonke Gama,Nelmapius Dr Irene,G Centr,345-5283,345-5142,083-375-3523,Nkosinathi
ROWHILL MOTORS,ISMAIL UNUS,"PAUL KRUGER & HOSPITAL RD, GEDULD, SPRINGS",G East,(011) 811 - 7865,(011) 811 - 7864,,Muneer Patel
Rudan 1 Stop,Nico Venter,"Cnr Jhb&Pta RdCross.R24&R27,Rustenburg",1 STOP,014 5971068,014 5972372,082 452 5382,Muneer Patel
RYNFIELD MOTORS,RAJESH NADOO,184 PRETORIA RD RYNFIELD,G East,(011) 849 - 2915,(011) 425 - 2403,084 502 0338,Muneer Patel
SA Democracy Mtrs,B.Zwane,Parkwood Ave. Chrissiesmeer,3rd East,017x8470005,,072 479 1023,Muneer Patel
Sabie 1 Stop,Keith Cogill,"146 Main Rd, Sabie",1 STOP,013 7642232,013 7642232,083 452 7532,Muneer Patel
SAKHILE S/STN ,DAN RABOTHATA,"740 CNR KWEZI & MASIMINI STREETS, MOFOLO, SOWETO ",G SW,011 - 988 900,011 - 988 2182,083 648 0300,Clint Gali
Sami-Safi,Cris Nell,Van Riebeeck Str VoortrekkerH.,I North,012 651 2811,012 651 5664,072 389 4401,Willem Goudriaan
SANDOWNVIEW S/STN,Mohammed Bhabha ,Cnr Grayson Dr & Helen Rd,G Centr,011-884 2737,,,Closed
Sandton Gate,Bharat,Cnr. Katherine & Vere.Sandton,G Centr,011 262 2039,011 887 0756,083 267 0006,Nkosinathi
Sandton Nissan,Robison Kern,Cnr. Woodlands & Rep. Hurlingham,3rd West,011 8863355,011 8863355,082 413 1166,CLOSED
Satchmos,Mark Pillay,165 Maunde Street Atteridgeville,I North,012 375 8279,012 375 7027,082 371 3958,Willem Goudriaan
SB Ser Stn,Bushy Makwakwa,23 Masopha Str Atteridgeville,I North,012 375 8449 ,012 375 8449,082 815 2928,Willem Goudriaan
Sebayeng,Janse Jason,Slomondale Rd. Sebayeng,3rd North,015 2764822,,,CLOSURE
SELCOURT S/STN,DEON DU PLESSIS ,202F NIGEL RD SELCOURT ,G East,(011) 818 - 1113,(011) 818 - 1650,083 229 5434,Muneer Patel
Shakes Motors,Seemola Glenton,"Lebowakgomo,Limpopo",3rd North,n\a,n\a,,Closure
SHALOM,EDMUND MOSS ,WATERMEYER ST WITBANK,G East,656 - 0864,350 - 0542,082 878 9156,Muneer Patel
Shampeni Garage,S. Nkosi,Daantjie Ring Road Kanyamazane ,3rd East,013x7810004,013x7810004,082 432 2525,Muneer Patel
SHEREENA MOTORS,AHMED CEEDAT,"216 RAILWAY STREET, GERMISTON ",G East,(011) 873 9671,(011) 873 9492,,Muneer Patel
SHERWOOD RET CEN,MARNIE STRYDOM,CNR CRAVEN & HOSPITAL ROAD BRAKPAN NORTH ,G East,(011) 740 9170,ASK,083 453 6713,Muneer Patel
Shimatis,Mandrew Ngobeni,Giyani Rd. Giyani,3rd North,015  8120395,015 8120395,082 957 5996,Willem Goudriaan
SIGNATURE MOTORS ,SHAHED DASOO ,"Cnr John Voster & Wantenaar, Sasolburg ",G SW,016 - 976 0555,Ask ,082 414 1754,Clint Gali
Silver Lakes Conv.CEN,Gert Fourie,Lynnwood Drive Lynwood,I North,012 809 1244,012 809 1245,083 631 0713,Willem Goudriaan
SILVERFIELDS ,EUGENE ROETS ,Deal Rd Silverfileds,G SW,011 - 955 4873,011 - 955 2658,083 265 3369,Clint Gali
Simarlo,Gert Vosloo,Hendrik Verwoerd Dr Hennopspark,G Centr,653-0341,653-5392,082-416-5980,Nkosinathi
SIMUNYE S.S,MR  SANDILE SKOSANA,4863 EXT 4 EMBALENHLE SECUNDA,G East,(017) 685 3328 ,(017) 685 3351,082 556 0969,Muneer Patel
Siroco,Sheekar Beharie,Hans Strijdom Dr Kya Sands,G Centr,704-4870,704-4869,082-411-4870,Nkosinathi
Siyabonga Conv Ctr.,Mohamed Abed,"Cnr Granville & Mainreef Road, Robertville",G Centr,472 1284,672 4373,082 411 6200,Nkosinathi
Siyabuswa Motor Clinic,Gugu Mahlangu,Nelson Mandela Dr Siyabuswa ,I North,013 973 1106,013 973 1106,083 701 6290,Willem Goudriaan
SIYATHELA S.S,NOVEMBER MBHELE,"1148 SONTONGA ROAD, KATLEHONG ",G East,,(011) 736 9375,072 177 8690,Muneer Patel
Siyaya Numbi,Bertie Pieterse,"6 Krugerpark Rd, White River",I North,013 750 1811,013 751 2348,083 628 0209 ,Willem Goudriaan
SIYAYA RET CEN,FRED ,"Cnr Percy Avenue & 2nd Street, Ennerdale ",G SW,011 - 855 6352 ,011 - 855 6381 ,082 455 1568,Clint Gali
Skinner Str Motors,Boet Oelofse,101 Skinner Str Pretoria,I North,012 328 3605,012 328 3605,083 829 9385,Willem Goudriaan
SKYSTOP,Louis Dippenaar,JHB International Airport Kemptonpark,G Centr,390-3148,390-1312,079-895-9725,Nkosinathi
SLABBERT MOTORS ,HENNO SLABBERT,"STATION STREET, OBERHOLZER ",G SW,018 - 787 5944,018 - 787 5943,083 229 9452,Clint Gali
SM MOTORS ,SILAS TSHABALALA ,"564 ZAMUKULUNGISA STREET, EMDENI ",G SW,,,082 484 9413,Clint Gali
SOBANTU S.S,SONNYBOY ZWANE,STAND 2161 EMBALENHLE SECUNDA,G East,(017) 685 2857,,082 932 9717,Muneer Patel
Solly Kharbai Mts,Solly Kharbai,Jewel Street Laudium,I North,012 374 5242,012 374 5258,082 579 5092,Willem Goudriaan
SONLIA S.S,BRAAM VAN ROOYEN,CNR SCHOEMAN & MAREE STR HEIDELBURG ,G East,(016) 341 6561,(016) 349 2048,082 755 8851,Muneer Patel
SONLIG S.S,BHABHA MOHAMED,69 BOTHA STREET MEYERVILLE BETHAL ,G East,(017) 712 1361,,072 240 0075,Muneer Patel
Sonop,Faizal Salajee,Old Pretoria Rd Halfway House,G Centr,805-2221,805-3206,083-326-0561,Nkosinathi
Sonskyn Ret/Cen,Sakkie Buys,19 Potgieter Str Bele-Bele,I North,014 736 2151,014 736 2151,083 601 2885,Willem Goudriaan
Sovenga,Banyini Sam,Mankweng. Sovenga,3rd North,015 2701000,015 23554391,,Willem Goudriaan
Spartan,Mohammed Cajee,Zuurfontein Rd Spartan X1,G Centr,974-6900,507-6282,083-229-5434,Nkosinathi
SPEEKS MOTORS,GERHARD SPEEKS,"61 KERK STR, BRONKHORSTPRUIT",G East,(013) 932 3691,(013) 932 1319,082 554 4807,Muneer Patel
Sphiwe S/Stn,Farouk Varachia,Vundla Drive Moroka Soweto,3rd South,011x9844062,011x6149981,082 788 4816,Clint Gali
Stadium Motors,Molefe Phayane,Kubone Drive Mamelodi West,I North,012 805 2856,012 805 2853,083 263 5350,Willem Goudriaan
STAR MOTORS ,RICHARD SEDINYANE ,"9188 Seeiso Street, Sharpeville",G SW,016 - 451 3908,,076 322 258,Clint Gali
Steeledale ss,NOMASOMI MTHAKATHI,Linroy Sreet Steeldale JHB,G SW,011x6131237,011x6131237,083 626 6097,Clint Gali
Stonage,Mukesh Desai,Repulic Rd Fontainebleau,G Centr,792-5771,782-2759,083-253-9457,Nkosinathi
Strijdompark,Jacques Jv Vuuren,Hans Strijdom Dr Strydompark,G Centr,793-6180,793-6180,083-456-3252,Nkosinathi
Strubenpark ,Johan v Staden,Schubart St Pretoria,I North,012 323-1763,012 325-5026,082-781-9781,Willem Goudriaan
Subway Motors,Jannie Kotze,"10th Avenue, Maraisburg",G Centr,672 8890,674 2634,082 453 4447,Nkosinathi
Sun City S Stn (ZENEX),Koen Dreyer,Main Rd Pilansberg Highway Sun Village,I North,014 552 1295,014 552 1295,083 292 4477,Clint Gali
SUNNYROCK MOTORS,KRISH RANGASAMY,"SPRINGBOK ROAD SUNNYRIDGE,BENONI",G East,(011) 828 1341,,083 753 7152,Muneer Patel
Sunrise S/Stn,C. Louw,Leon fererra Drive Reiger Park,3rd East,011x9101708,011x9101707,083 515 8291,Muneer Patel
Swartruggens Garage,Otto Husemeyer,Sarel Cilliers Str Swartruggens,I North,014 544 0017 ,014 544 0310,083 626 7576,Clint Gali
T & K S.S,ANDRIES MASHABA,,G East,,,,Muneer Patel
Tafelkop,Mokwena John Lesedi,Main Road. Groblesdal,3rd North,n\a,n\a,082 960 7016,Willem Goudriaan
Tahero Conv Ctr.,Rob Dubbini,"Corlett Drive, Witpoortjie",G Centr,762 4314,762 3410,083 400 9944,Nkosinathi
TECHNI MOTORS,NICOLENE / WOLF  ,"Cnr Playfair & Petter Streets, Vanderbijl Park ",G SW,016 - 981 1884,Ask ,083 230 0632,Clint Gali
Technopark,Ellis Lourens,John Vortster Dr Highveld,G Centr,665-5733,665-5735,082-853-7891,Nkosinathi
TEKANE MOTORS,SHAUN PIETERSON,SAM SEKATI AVE VOSLOORUS EXT 9 ,G East,(011) 675 0963,,,Muneer Patel
Tele FS (segoales tune up),Marapyana Sydney,Zone 1. Seshego,3rd North,015 2911077,015  2912787,083 442 1649,Willem Goudriaan
Temba Fill Station,Frits Smulders,"Main Road, Burgersfort",I North,013 231 7566,013 231 7567,083 611 6362,Willem Goudriaan
Temba Serv Station,Solomon Mohotsi,Jubilee Road Temba,I North,012 717 2843 ,ask for fax,082 776 5535,Willem Goudriaan
Tembisa (new),Sandile Sikhosana,Cnr Sam Molele St & Sam Molele Drive,G Centr,,,084-777-4434,Nkosinathi
The Reeds,Mohamed Kholvadia,Panorama St The Reeds,G Centr,012-661-7105,012-661-7106,084-548-7376,Nkosinathi
THEMBA MOTORS,THEMBA XABA,"5643 EISELEN ST ETWATWA, DAVEYTON",G East,(011) 962 - 5011/2,(011) 426 - 2921,083 626 6525,Muneer Patel
Theresa Park,Goosen Theo,Bokmakierie Street. Theresa Park,3rd North,012 7056084,n\a,n\a,Willem Goudriaan
Thokoza Ret Centre,ALFRED NDABA,"57A KHUMALO STREET, TOKOZA",G SW,011 - 905 1016,011 - 860 3127,083 350 8903,Clint Gali
Tirisanong,Marumo Sam,"Sotpans Rd. Mmotla Village,Pretoria",3rd North,n\a,n\a,,Muneer Patel
TOBY'S FORD ,TOBY ,"8112 ZONE 2, DIEPKLOOF, SOWETO ",G SW,011 - 938 9554,011 - 938 8958,,Clint Gali
Toit's Motors,Toit du Toit,Pretorius Street Hadfield,I North,012 430 6955,012 342 3238,082 568 6126,Willem Goudriaan
TOM CAMPHOR ,JANIE KOTZE,"CNR ANNET & STANLEY ROADS, JOHANNESBURG ",G SW,011 - 726 8103,011 - 726 1226,,Clint Gali
Top Queen S/Stn,George Coelhor,Queens Rd. kensington,3rd East,011x6161620,011x6161620,082 671 2181,Muneer Patel
Top Spot,Geoffrey Gaddin,Dennilton Road Dennilton,I North,013 262 2017,ask for fax,083 672 7739,Willem Goudriaan
TRADE ROUTE CC (NEW),DR EBRAHIM / JOSE',"CNR NIRVANA & CAPELLA STRS, LENASIA",G SW,,086 689 9222,073 166 5306,Clint Gali
TREK-IN,COENIE V/DER MERWE,Piet Retief St Standerton,G East,(017) 712 -2704,712 - 2704,083-235-3294,Muneer Patel
TRIOMF S / STN ,JOHAN MAREE,"CNR EDWARD & GOLD STREETS, TRIOMF",G SW,011 - 477 2450,011 - 477 2450,083 650 7557,Clint Gali
Tshilamba S/S,Dick Neluembeni,Main St Thengwe,I North,072-292-6323,Nil,072-292-6323,Willem Goudriaan
Umfula 1 Stop,Gerhard Pretorius,R512 Highway To Hartbeespoortdam,1 STOP,012 2531275,012 2532987,082 490 9988,Muneer Patel
UNCLE HARRY'S F/STN ,HARRY PAPPAS ,"CNR BATTERY & MAIN REEF RDS, RANDFONTEIN",G SW,011 - 693 1760,ASK ,082 850 7266,Clint Gali
Uncle Sams Mtrs,S. Poletsi,Seeiso Street Sharpeville,3rd East,N/A,N/A,828426183,Closure
Uncles Ser Stn,Tony Delgado,"37 Tom Lawrence Str, White River ",I North,013 751 1569,013 750 3007,082 670 4232,Willem Goudriaan
UNIPARK GARAGE,SOLLY ,"Cnr Martin & Noble Boulervard, V/Bijlpark",G SW,016 - 988 1505,016 - 988 1506,083 778 1424,Clint Gali
UNITED MOTORS ,VICTOR SITHOLE ,"29655 ROODEPOORT ROAD, MEADOWLANDS ",G SW,011 - 989 2256,011 - 493 0274,083 375 4555,Clint Gali
USAID AUTO S.S,HUSAIN ABASS,656 SOMA STREET ACTONVILLE,G East,(011) 420 0786,(011) 496 1044,083 786 7601,Muneer Patel
Vaal 1 Stop East,Wynand Van Zyl,"N3 Route Durban, Villiers",1 STOP,058 8210375,058 8210707,083 260 1526,Muneer Patel
Vaal 1 Stop West,Almaro Van Vuuren,"N3 Route Johannesburg, Villiers",1 STOP,058 8210375,058 8210707,083 260 1526,Muneer Patel
Valhalla Ser Stn,Kobus Jonker,78 Alarie Str Valhalla,I North,012 651 1549,012 651 1549,082 378 4984,Willem Goudriaan
Valley SS,Umesh Bhaga ,"62 Jan Smuts Ave, Bordeaux, Randburg ",G Centr,787-6413,886-8673,083-447-4113,Nkosinathi
Van Dyk S/Stn,S. Moosa,Van dyk Road Boksburg East,3rd East,N/A,N/A,082 786 3786,Muneer Patel
Vega S.S,Pieter Muller,Hans Strydom Drive Faerie Glen,I North,012 991 7583,012 991 7584,082 415 1891,Willem Goudriaan
Vereeniging BMW,Isabel. Wahlster,Voortrkker St. Vereeniging,3rd South,016x4213800,016x4225086,072 262 1140,CLOSED
Verwoerdpark ss,DERRICK ALLISON,CNR BRAUN & DRYSDALE ST VERWOERDPARK,G SW,011 - 902 1409,011 - 902 1409,083 4734 303,Clint Gali
VICKY'S MOTORS ,LYNETTE CAROLOUS ,"49 GOLDEN HIGHWAY, ARMADALE ",G SW,011 - 942 2522,011 - 942 2532,,Clint Gali
Village Mtrs,CHRIS KRUGER ,"20 VERMOONTEN ST BRACKENHURST, ALBERTON ",G SW,011 - 867 5921,011 - 867 5920,083 7254 862,Clint Gali
Vivo Fill Stn,Faan Greyling,Grobler Str Polokwane,I North,015 291 5711,015 291 5711,082 333 3449,Willem Goudriaan
VOSLOORUS S.S,LOWEN MAUPA,"76 MC BOTHA AVENUE, VOSLOORUS",G East,,(011) 444 7297,083 326 3996,Muneer Patel
WALKERVILLE S/STN ,,"Plot 85 Old JHB / Veree Road, Walkerville",G SW,011 - 949 2325,011 - 949 2772,084 617 8640,Clint Gali
Waterberg Toyota,Marinda (Manager),Voortrekker Str Nylstroom,I North,014 717 5335,014 717 5532,072 107 1764,Willem Goudriaan
WATERFRONT,JASON VENTER,C/R ORANGE STR. & KIESKAMMA DR,G East,244 - 3341,244 - 3342,082 321 2428,Muneer Patel
Watermeyer Motors,Stephan Venter,Watermeyer Road Valde Grace,I North,012 804 3254,012 804 3690,082 850 2163,Willem Goudriaan
Waverley,Mike Frangoulis,35 Scott St ,G Centr,011-440 1820,,,Nkosinathi
Webber S/Stn,H.Sooma,Webber Street Selby JHB. ,3rd South,011x4936063,011x4936064,082 922 9151,Clint Gali
WEMBLEY S.S,SHABIR/YUSUF,ATLAS ROAD BOKSBURG,G East,,(011) 918 5582,082 555 4486,Muneer Patel
Westbridge CC ,Johan v Vuuren,Hans Strijdom Dr Strijdom Park,G Centr,793-7214,791-2207,082-650-8672,Nkosinathi
Western Ser Stn,Martha Tlamelo,DF Malan Dr Pretoria West,I North,012 327 1412,012 327 1412,082 994 5202,Willem Goudriaan
Wierdapark,Johan Uys,Chris Hoogaard St Wierdapark,G Centr,654-4161,654-0460,082-801-0903,Nkosinathi
William Nicol CC,Haroun Gutta ,"Cnr William Nicol & Mattie Rds, Parkmore",G Centr,884-8660,884-8662,082-558-3307,Nkosinathi
Williams Motors,Eugene Williams,"Cnr Hendrik Verwoerd & Republic Rd's, Ferndale",G Centr,886-5953,886-5953,082-770-1192,closed
Willowcrest,Harsheen Ramjee,Judges Ave Cresta,G Centr,678-7521,678-7522,072-970-6289,Nkosinathi
Willows Motors,Ismael Sujee,Simon Vermooten Rd Wilgers,I North,012 803 0024,012 803 0024,082 859 7007,Willem Goudriaan
Wins Motors,Chris Botha,Witklip Street Ladana,I North,015-293-2961,015 293 2961,082 964 0906,Willem Goudriaan
Winterveldt Ser Stn,Aden Mokale,8557 Unit A Mabopane,I North,012 702 7413,012 702 7413,083 302 0987,Willem Goudriaan
WN Garage,,,3rd North,,,,Willem Goudriaan
Wongar,,,3rd North,,,,Closure
Woodlands SS,Gert Gouws,Cnr Woodlands & West ,G Centr,011-804 3910,,,Nkosinathi
Woodmead SS,Ismail Ravat ,Waterval Crescent,G Centr,011-804 6078 ,,,Nkosinathi
Wright Park Mtrs,ABDULLAH HASSEN,160 ELLIS DRIVE WRIGHT PARK SPRINGS,G East,(011) 813 2140,(011) 813 3563,,Muneer Patel
Yamorna,Bester Attie,Lyndenburg\ Tzaneen Rd. Tzaneen,3rd North,015 3072858,015 3073580,,CLOSURE
Yeoville Motors,Mimo/Patrick,"43 Raleigh Street, Yeoville",3rd South,011 6483001,011 6483001,083 729 3000,Clint Gali
ZAK PARK F/STN ,IMRAAN / ISMAIL ,"6 Clover Street, Zakariya Park ",G SW,011 - 859 1731,011 - 854 7617,082 338 5687,Clint Gali
ZAK'S F/STN ,PHILILE RADEBE ,"JACK WEEDEN ROAD, DIEPKLOOF",G SW,011 - 985 1050,011 - 985 0341,082 6396 629,Clint Gali
Zambezi Quick Stop,Nico Landman,Zambezi Dr Sinoville,I North,012 567 0801,012 567 0799,082 468 6215,Willem Goudriaan
Zenex Amalgam,AHMED SULIMAN,CNR INDUSTRIAL & BESEMER ROADS INDUSTRIA,G SW,011 - 661 4300,011 - 661 4306,,Clint Gali
Zenex Atteridgeville (closure),Matthew Letsoalo,Maunde&Moloantoa Sts Attridgeville,I North,012 373 8319,012 375 6796,082 644 7424,CLOSED
Zenex Barbeque Downs ,Benny Eichner,Dytchley Rd Midrand,G Centr,466-1838,466-1839,082-444-9736,Nkosinathi
Zenex Bedfordview,Minty Imraan,North Reef Road Germiston,3rd East,011x4553768,011x4501661,072 236 2823,CLOSED
ZENEX BLYVOOR,RICKY DE GOUVEIA ,"MAIN ROAD, BLYVOOR ",G SW,018 - 789 9702,018 - 789 9045,082 213 6490,Clint Gali
Zenex Boston, Bakesh Maganlal,Prinsloo Street. Tshwane,3rd North,012 3236878,012 374 6273,082 956 9895,Muneer Patel
ZENEX BREDELL MOTORS,FAROUK HASSEN,250 3RD AVENUE BREDELL ,G East,(011) 667 1510,(011) 967 1976,083 676 1786,Muneer Patel
ZENEX CARLTONVILLE,JOSE / PAULE,"2 ANNAN ROAD, CARLTONVILLE ",G SW,018 - 787 5831,018 - 787 4831,082 458 9792,Clint Gali
Zenex Centurion,Dick Rabia,Rabie St Centurion,G Centr,664-2513,664-2497,082-895-0203,Nkosinathi
Zenex Clayville,Peter Matshiva,Industrail Rd Clayville,G Centr,316-2726,316-3880,082-550-5931,Nkosinathi
ZENEX CYRILDENE ,NASH / JAY ,"1 COOPER STREET, CYRILDENE",G SW,011 - 616 9933,011 - 616 9933,,CLOSED
Zenex Dalpark,M. Shailesh,lawrence ave Dalpark,G East,011x9158748,011x9158741,082 386 1027,Muneer Patel
Zenex Dam Mts,Johan van Wyk,Plot 205 Kameeldrift East Pta,I North,012 808 0962,012 8080962,082 570 2025,Willem Goudriaan
Ferndale,Bruce Mallen ,"101 Oxford St, Ferndale",G Centr,792-1977,791-3530,083-727-7750,Nkosinathi
Zenex Geelhoutpark,Andrew Storm,Manlika & Wisteria Strs Geelhoutpk Rustb.,I North,014 592 0411,014 592 0451,082 255 5576,Clint Gali
Zenex Golf Club Terrace,Ronald & Elsabe King,Cnr Golf Club Terrace & Joachim van Pletter,G Centr,475 4800,768 7422,083 399 1221,CLOSED
Zenex Great North,IAN FRISBY,28 GREAT NORTH ROAD BENONI,G East,(011) 395 2147,ASK,082 876 9288,Muneer Patel
Zenex Hart,DAVID KAHTS ,"CNR HENNIE ALBERTS & HART STREETS, MEYERSDALE",G SW,011 - 867 3267,011 - 867 5215,082 458 6400,Clint Gali
Zenex Henico,Eugine Delport,"129 Kerk Street, Fochville",3rd West,018 771 2032,018 771 2032,082 572 9417,Clint Gali
Zenex Highveld,Ellis Lourens,John Vorster Dr Highveld,G Centr,665-1685,665-1692,082-853-4107,Nkosinathi
Zenex Isando,K. Sederis,4 Hurley Street Isando,G Centr,011x9745861,011x3924275,082 881 5844,Nkosinathi
Zenex Jeanlaan,Philip Lourens,Jean Ave Centurion,G Centr,664-1789,664-7492,082-893-5176,Nkosinathi
ZENEX KATLEHONG,NOMSA MATHEBULA,500 KHUMALO STR KATLEHONG,G East,(011) 905 9263,ASK,082 434 6697,Muneer Patel
ZENEX KLOPPERPARK,STEVEN CAPCAM,"317 BARBARA ROAD, EDENGLEN KLOPPERPARK",G East,(011) 974 5149,(011) 392 3139,082 650 3729,Muneer Patel
Zenex Kraalkop,De Frettas Sam,Potchefstroom Road,3rd West,018 7714924,018 7716261,823308523,CLOSED
Zenex Kyalami,Mark Bartlett,Arthur Ave Crowthorne,G Centr,702-2256,702-2255,083-310-3157,Nkosinathi
Zenex Laezonia,Rohan De Beer,Cnr R511 & N14,G Centr,669-0609,669-0122,082-857-6290 ,Nkosinathi
